Genre_1,Genre_2,Genre_3,Attire_1,Attire_2,Attire_3
World Music,Soul/R&B,Country,ethnic print clothing,velvet jacket,denim shirt
Rock,World Music,Easy Listening,band t-shirt,sandals,relaxed fit clothing
Instrumental,Acoustic,Indie,formal shoes,simple sneakers,vintage sweater
Instrumental,Rock,Easy Listening,classical outfit,band t-shirt,light scarf
Vocal,Easy Listening,Instrumental,elegant gown,loafers,formal shoes
Ambient,Punk,Indie,loose-fitting clothing,combat boots,vintage sweater
Punk,Dance,Pop,punk jacket,light-up shoes,fashionable sneakers
Hip Hop/Rap,Soul/R&B,Other,sneakers,silk scarf,unique finds
Electronic,Soul/R&B,Reggae,graphic tee,silk scarf,beads bracelet
Classical,Folk,Punk,loafers,wool hat,combat boots
Easy Listening,World Music,Experimental,relaxed fit clothing,beaded accessories,avant-garde attire
World Music,Acoustic,Experimental,ethnic print clothing,simple sneakers,bold patterns
Pop,Punk,Vocal,fashionable sneakers,punk jacket,dress shoes
Soul/R&B,Acoustic,Jazz,silk scarf,casual shirt,sunglasses
Jazz,Classical,Easy Listening,linen shirt,loafers,relaxed fit clothing
Classical,Electronic,Easy Listening,formal coat,graphic tee,loafers
World Music,Country,Vocal,beaded accessories,cowboy boots,elegant gown
Reggae,Experimental,Electronic,beads bracelet,unique accessories,LED accessories
Metal,Soul/R&B,Folk,studded belt,silk scarf,wool hat
Instrumental,Ambient,Indie,formal shoes,loose-fitting clothing,corduroy pants
Hip Hop/Rap,Acoustic,Ambient,sneakers,casual shirt,earth tones
Instrumental,Experimental,Jazz,formal shoes,avant-garde attire,sunglasses
Instrumental,Country,Folk,formal shoes,cowboy boots,wool hat
Acoustic,Indie,Jazz,comfortable jeans,ankle boots,sunglasses
Classical,Ambient,Vocal,formal coat,minimalist jewelry,minimalist accessories
Folk,Blues,Soul/R&B,ankle boots,leather shoes,slim-fit trousers
Folk,Latin,Other,ankle boots,colorful dress,eclectic mix
Reggae,Blues,World Music,beads bracelet,leather shoes,ethnic print clothing
Pop,Country,Acoustic,skinny jeans,wide-brimmed hat,comfortable jeans
Hip Hop/Rap,Instrumental,Ambient,sneakers,formal shoes,earth tones
Metal,Country,Soul/R&B,studded belt,wide-brimmed hat,silk scarf
Easy Listening,Rock,Ambient,relaxed fit clothing,leather jacket,earth tones
Punk,Classical,Blues,punk jacket,formal coat,leather shoes
