Genre_1,Genre_2,Genre_3,Attire_1,Attire_2,Attire_3
World Music,Soul/R&B,Country,ethnic print clothing,velvet jacket,denim shirt
Rock,World Music,Easy Listening,band t-shirt,sandals,relaxed fit clothing
Instrumental,Acoustic,Indie,formal shoes,simple sneakers,vintage sweater
Instrumental,Rock,Easy Listening,classical outfit,band t-shirt,light scarf
Vocal,Easy Listening,Instrumental,elegant gown,loafers,formal shoes
Ambient,Punk,Indie,loose-fitting clothing,combat boots,vintage sweater
Punk,Dance,Pop,punk jacket,light-up shoes,fashionable sneakers
Hip Hop/Rap,Soul/R&B,Other,sneakers,silk scarf,unique finds
Electronic,Soul/R&B,Reggae,graphic tee,silk scarf,beads bracelet
Classical,Folk,Punk,loafers,wool hat,combat boots
Easy Listening,World Music,Experimental,relaxed fit clothing,beaded accessories,avant-garde attire
World Music,Acoustic,Experimental,ethnic print clothing,simple sneakers,bold patterns
Pop,Punk,Vocal,fashionable sneakers,punk jacket,dress shoes
Soul/R&B,Acoustic,Jazz,silk scarf,casual shirt,sunglasses
Jazz,Classical,Easy Listening,linen shirt,loafers,relaxed fit clothing
Classical,Electronic,Easy Listening,formal coat,graphic tee,loafers
World Music,Country,Vocal,beaded accessories,cowboy boots,elegant gown
Reggae,Experimental,Electronic,beads bracelet,unique accessories,LED accessories
Metal,Soul/R&B,Folk,studded belt,silk scarf,wool hat
Instrumental,Ambient,Indie,formal shoes,loose-fitting clothing,corduroy pants
Hip Hop/Rap,Acoustic,Ambient,sneakers,casual shirt,earth tones
Instrumental,Experimental,Jazz,formal shoes,avant-garde attire,sunglasses
Instrumental,Country,Folk,formal shoes,cowboy boots,wool hat
Acoustic,Indie,Jazz,comfortable jeans,ankle boots,sunglasses
Classical,Ambient,Vocal,formal coat,minimalist jewelry,minimalist accessories
Folk,Blues,Soul/R&B,ankle boots,leather shoes,slim-fit trousers
Folk,Latin,Other,ankle boots,colorful dress,eclectic mix
Reggae,Blues,World Music,beads bracelet,leather shoes,ethnic print clothing
Pop,Country,Acoustic,skinny jeans,wide-brimmed hat,comfortable jeans
Hip Hop/Rap,Instrumental,Ambient,sneakers,formal shoes,earth tones
Metal,Country,Soul/R&B,studded belt,wide-brimmed hat,silk scarf
Easy Listening,Rock,Ambient,relaxed fit clothing,leather jacket,earth tones
Punk,Classical,Blues,punk jacket,formal coat,leather shoes
Ambient,Dance,Rock,minimalist jewelry,neon clothing,slim-fit trousers
Metal,Easy Listening,Latin,minimalist jewelry,simple jewelry,streetwear hoodie
Soul/R&B,Acoustic,Jazz,silk scarf,casual shirt,sunglasses
Dance,Pop,World Music,comfortable jeans,earth tones,ethnic print clothing
Punk,Dance,Pop,LED accessories,light-up shoes,fashionable sneakers
Easy Listening,Hip Hop/Rap,Instrumental,light scarf,streetwear hoodie,combat boots
Easy Listening,Folk,Ambient,relaxed fit clothing,leather jacket,streetwear hoodie
Pop,Instrumental,Folk,bright colored top,ripped jeans,ripped jeans
Dance,Hip Hop/Rap,Instrumental,loafers,sneakers,formal shoes
Country,Electronic,Soul/R&B,denim shirt,band t-shirt,slim-fit trousers
Latin,Dance,Acoustic,bold patterns,glow accessories,simple sneakers
Rock,Metal,Electronic,ripped jeans,combat boots,LED accessories
Punk,Experimental,Vocal,chain accessories,wool hat,dress shoes
Metal,Punk,Acoustic,black t-shirt,cargo pants,comfortable jeans
Hip Hop/Rap,Experimental,Electronic,light-up shoes,unique accessories,graphic tee
Other,Dance,Ambient,wool hat,harmonica pendant,silk scarf
Indie,Easy Listening,Instrumental,elegant gown,loafers,formal shoes
Reggae,Pop,World Music,minimalist accessories,vintage sweater,sandals
Pop,Rock,Folk,bright colored top,light-up shoes,wool hat
Blues,Punk,Metal,harmonica pendant,fedora hat,combat boots
Punk,Hip Hop/Rap,Dance,graphic tee,sneakers,neon clothing
Vocal,Metal,Reggae,elegant gown,studded belt,beanie
Dance,Country,Blues,punk jacket,formal coat,leather shoes
Punk,Country,Acoustic,combat boots,black t-shirt,casual shirt
Acoustic,Electronic,Indie,flannel shirt,minimalist jewelry,vintage sweater
Electronic,Latin,Soul/R&B,cargo pants,slim-fit trousers,sneakers
Experimental,World Music,Classical,bold patterns,sandals,formal coat
Other,Other,Reggae,personalized accessories,baseball cap,unique finds
Other,Blues,Pop,personalized accessories,vintage jeans,bright colored top
Other,Acoustic,Country,LED accessories,simple sneakers,cowboy boots
Other,Dance,World Music,eclectic mix,neon clothing,sandals
Acoustic,Punk,Acoustic,chain accessories,combat boots,comfortable jeans
Jazz,Reggae,Rock,loose-fitting clothing,beads bracelet,unique finds
Hip Hop/Rap,Soul/R&B,Acoustic,baseball cap,silk scarf,bright colored top
Ambient,Indie,Soul/R&B,elegant gown,leather shoes,slim-fit trousers
Experimental,Jazz,Ambient,avant-garde attire,linen shirt,colorful dress
Pop,Indie,Soul/R&B,minimalist jewelry,dress shirt,slim-fit trousers
Electronic,World Music,Latin,LED accessories,sandals,loafers
Easy Listening,Soul/R&B,Other,unique accessories,silk scarf,denim shirt
Soul/R&B,Country,Easy Listening,corduroy pants,beaded accessories,light scarf
Ambient,Indie,Easy Listening,simple sneakers,colorful dress,glow accessories
Punk,World Music,Latin,LED accessories,sandals,dance shoes
Electronic,Latin,Dance,skinny jeans,sneakers,unique accessories
Other,Other,Acoustic,studded belt,unique finds,simple sneakers
Country,Reggae,Pop,avant-garde attire,combat boots,dress shoes
Electronic,Jazz,Classical,chain accessories,fedora hat,beaded accessories
Metal,Experimental,Dance,simple jewelry,silk scarf,neon clothing
Easy Listening,Folk,Folk,classical outfit,sandals,ankle boots
Blues,Folk,Acoustic,beanie,flannel shirt,comfortable jeans
Indie,Country,Easy Listening,corduroy pants,dress shoes,light scarf
Easy Listening,Rock,Folk,bright colored top,ripped jeans,wool hat
World Music,Instrumental,Metal,bold patterns,simple jewelry,studded belt
World Music,Pop,Vocal,ethnic print clothing,fashionable sneakers,minimalist accessories
Latin,Dance,Easy Listening,colorful dress,graphic tee,loafers
Pop,Easy Listening,Punk,dress shoes,loafers,punk jacket
Vocal,Dance,World Music,dress shoes,glow accessories,ethnic print clothing
Experimental,Instrumental,Experimental,avant-garde attire,formal shoes,cargo pants
Experimental,Latin,Acoustic,LED accessories,cuban shirt,simple sneakers
Folk,Hip Hop/Rap,Metal,light scarf,streetwear hoodie,combat boots
Other,Hip Hop/Rap,Indie,dress shoes,baseball cap,denim shirt
Instrumental,Ambient,Indie,formal shoes,loose-fitting clothing,corduroy pants
Blues,Indie,Jazz,band t-shirt,ankle boots,sunglasses
Electronic,Latin,Other,cargo pants,colorful dress,sneakers
Classical,Indie,Pop,punk jacket,light-up shoes,fashionable sneakers
Easy Listening,Rock,Ambient,wool hat,rasta colors clothing,earth tones
Hip Hop/Rap,Metal,Folk,baseball cap,sunglasses,minimalist jewelry
Easy Listening,Indie,Experimental,relaxed fit clothing,corduroy pants,avant-garde attire
Instrumental,Ambient,Classical,beanie,loose-fitting clothing,corduroy pants
Rock,Metal,Acoustic,ripped jeans,combat boots,LED accessories
Soul/R&B,Jazz,Country,rasta colors clothing,sandals,cuban shirt
Classical,Electronic,Easy Listening,formal coat,graphic tee,loafers
Experimental,Jazz,Acoustic,avant-garde attire,fedora hat,simple sneakers
Blues,Jazz,Metal,linen shirt,band t-shirt,combat boots
Hip Hop/Rap,World Music,Dance,baseball cap,beaded accessories,silk scarf
Rock,Other,Vocal,band t-shirt,light-up shoes,wide-brimmed hat
Latin,Jazz,Pop,casual shirt,skinny jeans,minimalist accessories
Rock,Indie,Hip Hop/Rap,beanie,vintage sweater,beanie
Experimental,Reggae,Punk,sandals,beanie,beaded accessories
Easy Listening,World Music,Vocal,rasta colors clothing,sandals,ankle boots
Metal,Ambient,Electronic,black t-shirt,LED accessories,dance shoes
Vocal,Ambient,Rock,bold patterns,minimalist jewelry,ripped jeans
Hip Hop/Rap,Soul/R&B,Pop,sneakers,silk scarf,baseball cap
Punk,Folk,Ambient,baseball cap,harmonica pendant,loose-fitting clothing
Metal,Vocal,Soul/R&B,combat boots,ethnic print clothing,silk scarf
Reggae,Indie,World Music,beanie,vintage sweater,sandals
Reggae,Other,Vocal,punk jacket,casual shirt,dress shoes
World Music,Punk,Classical,beaded accessories,punk jacket,loafers
Electronic,Latin,Soul/R&B,cuban shirt,colorful dress,sneakers
Ambient,Jazz,World Music,elegant gown,denim shirt,ethnic print clothing
Dance,Reggae,Dance,black t-shirt,beanie,skinny jeans
Instrumental,Instrumental,Metal,earth tones,simple jewelry,studded belt
Rock,Folk,Vocal,band t-shirt,personalized accessories,minimalist accessories
Classical,Electronic,Easy Listening,formal coat,dance shoes,loafers
Instrumental,Rock,Experimental,classical outfit,ethnic print clothing,LED accessories
Metal,World Music,Jazz,loafers,ethnic print clothing,cowboy boots
Ambient,World Music,Soul/R&B,streetwear hoodie,beaded accessories,glow accessories
Indie,Vocal,Rock,vintage sweater,earth tones,band t-shirt
Hip Hop/Rap,Soul/R&B,Soul/R&B,sneakers,wool hat,silk scarf
Punk,Rock,Hip Hop/Rap,relaxed fit clothing,vintage sweater,earth tones
Indie,Latin,Reggae,band t-shirt,simple sneakers,beads bracelet
Punk,Classical,Blues,denim shirt,formal coat,graphic tee
Other,Electronic,Hip Hop/Rap,wide-brimmed hat,wool hat,vintage jeans
Experimental,Dance,World Music,rasta colors clothing,glow accessories,flannel shirt
Pop,Acoustic,Jazz,glow accessories,casual shirt,fashionable sneakers
Indie,Pop,Hip Hop/Rap,corduroy pants,wide-brimmed hat,light scarf
Hip Hop/Rap,Electronic,Soul/R&B,baseball cap,wool hat,silk scarf
Hip Hop/Rap,Experimental,Acoustic,sneakers,avant-garde attire,casual shirt
Punk,Classical,Blues,dress shoes,formal coat,corduroy pants
Pop,Other,Acoustic,bright colored top,personalized accessories,simple sneakers
Punk,Country,Other,punk jacket,ripped jeans,unique finds
Rock,World Music,Pop,silk scarf,sandals,slim-fit trousers
Soul/R&B,Vocal,Acoustic,silk scarf,unique finds,simple sneakers
Soul/R&B,Easy Listening,Acoustic,beads bracelet,leather shoes,ethnic print clothing
Folk,Blues,Jazz,ankle boots,leather shoes,skinny jeans
Blues,Latin,Soul/R&B,cargo pants,colorful dress,avant-garde attire
Pop,Easy Listening,Jazz,bright colored top,simple sneakers,ripped jeans
Punk,Country,Other,beads bracelet,avant-garde attire,unique finds
Hip Hop/Rap,Country,Vocal,denim shirt,dress shirt,unique finds
Indie,Electronic,Easy Listening,colorful dress,graphic tee,loafers
Electronic,Acoustic,Indie,sandals,simple sneakers,vintage sweater
Blues,Instrumental,Ambient,harmonica pendant,fedora hat,combat boots
Soul/R&B,Classical,Electronic,vintage sweater,dance shoes,light-up shoes
World Music,Country,Ambient,beaded accessories,cowboy boots,linen shirt
World Music,Punk,Classical,flannel shirt,loose-fitting clothing,formal coat
Punk,Latin,Rock,neon clothing,cuban shirt,band t-shirt
Folk,Ambient,Classical,flannel shirt,minimalist jewelry,formal coat
Instrumental,Soul/R&B,Dance,simple jewelry,fedora hat,neon clothing
Electronic,Indie,World Music,wide-brimmed hat,corduroy pants,elegant gown
World Music,Country,Punk,beaded accessories,cowboy boots,elegant gown
Dance,World Music,Instrumental,glow accessories,sandals,formal shoes
World Music,Country,Vocal,beaded accessories,cowboy boots,elegant gown
Experimental,Latin,Acoustic,minimalist accessories,cuban shirt,simple sneakers
Indie,Pop,Vocal,ethnic print clothing,fashionable sneakers,minimalist accessories
Hip Hop/Rap,Easy Listening,Metal,vintage jeans,relaxed fit clothing,black t-shirt
Metal,Punk,Acoustic,ripped jeans,skinny jeans,bold patterns
Electronic,Latin,Easy Listening,cargo pants,formal shoes,skinny jeans
Other,Pop,Other,personalized accessories,baseball cap,beanie
Electronic,Electronic,Experimental,graphic tee,silk scarf,beads bracelet
Easy Listening,Rock,Ambient,relaxed fit clothing,leather jacket,earth tones
Country,Other,Punk,silk scarf,unique finds,simple sneakers
Experimental,Hip Hop/Rap,Latin,avant-garde attire,linen shirt,colorful dress
Experimental,Easy Listening,Metal,bold patterns,band t-shirt,combat boots
Easy Listening,Folk,Dance,ankle boots,flannel shirt,streetwear hoodie
Experimental,Jazz,Blues,avant-garde attire,linen shirt,silk scarf
Vocal,Dance,World Music,beads bracelet,glow accessories,ethnic print clothing
Indie,Reggae,Rock,beads bracelet,beanie,studded belt
Latin,Electronic,Easy Listening,corduroy pants,graphic tee,band t-shirt
Ambient,Easy Listening,Other,classical outfit,studded belt,personalized accessories
Easy Listening,Rock,Ambient,relaxed fit clothing,black t-shirt,velvet jacket
Pop,Easy Listening,Soul/R&B,bright colored top,loafers,punk jacket
Easy Listening,Soul/R&B,Latin,punk jacket,slim-fit trousers,loose-fitting clothing
Instrumental,Punk,Ambient,loose-fitting clothing,combat boots,vintage sweater
Metal,Vocal,Country,avant-garde attire,wool hat,cowboy boots
Vocal,Dance,World Music,dress shoes,glow accessories,beads bracelet
Acoustic,Hip Hop/Rap,Instrumental,minimalist accessories,simple jewelry,simple jewelry
Rock,Dance,World Music,eclectic mix,neon clothing,sandals
Indie,Ambient,Easy Listening,ankle boots,loose-fitting clothing,elegant gown
Hip Hop/Rap,Soul/R&B,Acoustic,baseball cap,velvet jacket,simple sneakers
Pop,Easy Listening,Punk,bright colored top,loafers,punk jacket
Latin,Jazz,Folk,cuban shirt,linen shirt,flannel shirt
World Music,Soul/R&B,Dance,simple jewelry,velvet jacket,avant-garde attire
Pop,Experimental,Electronic,leather jacket,bold patterns,graphic tee
Acoustic,Pop,Acoustic,cowboy boots,casual shirt,ethnic print clothing
Ambient,Reggae,Pop,loose-fitting clothing,streetwear hoodie,bright colored top
Hip Hop/Rap,Metal,Experimental,streetwear hoodie,studded belt,bold patterns
Punk,Soul/R&B,Ambient,punk jacket,slim-fit trousers,loose-fitting clothing
Indie,Reggae,Rock,vintage sweater,avant-garde attire,band t-shirt
Blues,Acoustic,Electronic,leather shoes,casual shirt,graphic tee
Soul/R&B,Punk,Instrumental,silk scarf,chain accessories,simple jewelry
Electronic,Acoustic,Country,ankle boots,simple sneakers,simple jewelry
Ambient,Instrumental,Other,formal shoes,simple jewelry,studded belt
Punk,Jazz,Blues,personalized accessories,personalized accessories,leather shoes
Blues,Hip Hop/Rap,Reggae,personalized accessories,baseball cap,beanie
Hip Hop/Rap,Punk,Metal,cowboy boots,combat boots,simple jewelry
Indie,Country,Vocal,beaded accessories,cowboy boots,elegant gown
Vocal,Dance,Indie,sneakers,baseball cap,casual shirt
Blues,Hip Hop/Rap,Metal,light scarf,streetwear hoodie,combat boots
Blues,Country,Metal,streetwear hoodie,relaxed fit clothing,studded belt
Hip Hop/Rap,Soul/R&B,Acoustic,baseball cap,velvet jacket,beanie
Folk,Latin,Pop,streetwear hoodie,vintage jeans,eclectic mix
Ambient,Country,Rock,minimalist jewelry,beads bracelet,cowboy boots
Classical,Indie,Pop,loafers,casual shirt,glow accessories
Classical,Punk,Indie,minimalist jewelry,combat boots,vintage sweater
Soul/R&B,Indie,Electronic,silk scarf,ankle boots,avant-garde attire
Rock,Other,Vocal,band t-shirt,personalized accessories,comfortable jeans
Folk,Latin,Hip Hop/Rap,LED accessories,denim shirt,baseball cap
Classical,Hip Hop/Rap,Easy Listening,dress shirt,studded belt,fashionable sneakers
Pop,Easy Listening,Ambient,fedora hat,relaxed fit clothing,sunglasses
Experimental,Easy Listening,Metal,harmonica pendant,relaxed fit clothing,combat boots
Other,Dance,World Music,eclectic mix,dress shirt,dance shoes
Indie,Country,Easy Listening,corduroy pants,wide-brimmed hat,cuban shirt
Dance,Other,Vocal,light-up shoes,beads bracelet,flannel shirt
Metal,Reggae,Pop,linen shirt,unique accessories,skinny jeans
Folk,Dance,Electronic,simple sneakers,formal coat,cargo pants
Vocal,Indie,Soul/R&B,elegant gown,ankle boots,slim-fit trousers
Reggae,Pop,Acoustic,simple jewelry,flannel shirt,comfortable jeans
Classical,Ambient,Vocal,formal coat,minimalist jewelry,minimalist accessories
Vocal,Instrumental,Reggae,elegant gown,studded belt,beanie
Ambient,Easy Listening,Latin,beaded accessories,relaxed fit clothing,dance shoes
Reggae,Experimental,Acoustic,beads bracelet,unique accessories,loafers
