Genre_1,Genre_2,Genre_3,Shirt,Shoes,Sweater,Pants,Accessories
Hip Hop/Rap,World Music,Metal,Formal Shirt,Generic Shoes,Generic Sweater,Formal Trousers,Formal Tie
Punk,Easy Listening,Indie,Generic Shirt,Casual Sneakers,Casual Hoodie,Casual Jeans,Formal Tie
Ambient,Easy Listening,Rock,Generic Shirt,Casual Sneakers,Casual Hoodie,Formal Trousers,Casual Hat
Latin,Ambient,Instrumental,Generic Shirt,Casual Sneakers,Casual Hoodie,Formal Trousers,Formal Tie
Acoustic,Metal,World Music,Formal Shirt,Generic Shoes,Generic Sweater,Generic Pants,Casual Hat
Experimental,Soul/R&B,Reggae,Formal Shirt,Casual Sneakers,Formal Jacket,Casual Jeans,Formal Tie
Instrumental,Dance,Electronic,Formal Shirt,Generic Shoes,Formal Jacket,Generic Pants,Formal Tie
Latin,Rock,Blues,Casual Tee,Casual Sneakers,Casual Hoodie,Casual Jeans,Casual Hat
Country,Metal,Indie,Denim Vest,Cowboy Boots,Country Cardigan,Denim Overalls,Bolo Tie
Other,Folk,Rock,Formal Shirt,Casual Sneakers,Casual Hoodie,Generic Pants,Casual Hat
Classical,Pop,Folk,Formal Shirt,Elegant Loafers,Vest,Formal Trousers,Silk Scarf
Experimental,Reggae,Latin,Casual Tee,Generic Shoes,Casual Hoodie,Casual Jeans,Generic Accessory
Country,Dance,Hip Hop/Rap,Denim Vest,Rustic Loafers,Knit Sweater,Bootcut Jeans,Bolo Tie
Reggae,Indie,Acoustic,Formal Shirt,Formal Shoes,Generic Sweater,Formal Trousers,Formal Tie
Country,Classical,Other,Plaid Shirt,Rustic Loafers,Knit Sweater,Denim Overalls,Bolo Tie
Instrumental,Blues,Country,Formal Shirt,Casual Sneakers,Generic Sweater,Formal Trousers,Formal Tie
Ambient,Pop,Jazz,Casual Tee,Generic Shoes,Formal Jacket,Formal Trousers,Formal Tie
Metal,Instrumental,World Music,Casual Tee,Generic Shoes,Generic Sweater,Casual Jeans,Casual Hat
Rock,World Music,Ambient,Leather Jacket,Studded Sneakers,Denim Jacket,Ripped Jeans,Leather Bracelet
Metal,Indie,Rock,Generic Shirt,Casual Sneakers,Formal Jacket,Formal Trousers,Casual Hat
Soul/R&B,Experimental,Dance,Casual Tee,Casual Sneakers,Generic Sweater,Casual Jeans,Generic Accessory
World Music,Country,Electronic,Generic Shirt,Casual Sneakers,Generic Sweater,Casual Jeans,Formal Tie
Punk,Country,Easy Listening,Generic Shirt,Casual Sneakers,Casual Hoodie,Casual Jeans,Formal Tie
Blues,Reggae,Acoustic,Casual Tee,Generic Shoes,Formal Jacket,Generic Pants,Casual Hat
Blues,Dance,Vocal,Formal Shirt,Casual Sneakers,Formal Jacket,Casual Jeans,Formal Tie
Reggae,Latin,Instrumental,Generic Shirt,Casual Sneakers,Generic Sweater,Formal Trousers,Generic Accessory
Country,Reggae,Hip Hop/Rap,Plaid Shirt,Cowboy Boots,Knit Sweater,Denim Overalls,Cowboy Hat
Soul/R&B,Rock,Jazz,Casual Tee,Casual Sneakers,Formal Jacket,Formal Trousers,Formal Tie
Dance,Rock,Country,Casual Tee,Formal Shoes,Casual Hoodie,Generic Pants,Generic Accessory
Jazz,Metal,Electronic,Vintage Shirt,Suede Shoes,Casual Blazer,Slacks,Pocket Square
Blues,Dance,Electronic,Formal Shirt,Generic Shoes,Casual Hoodie,Formal Trousers,Formal Tie
Soul/R&B,Blues,Dance,Formal Shirt,Formal Shoes,Generic Sweater,Formal Trousers,Generic Accessory
Folk,Soul/R&B,Latin,Generic Shirt,Casual Sneakers,Generic Sweater,Casual Jeans,Generic Accessory
Experimental,Electronic,Country,Casual Tee,Formal Shoes,Generic Sweater,Casual Jeans,Formal Tie
Soul/R&B,Classical,Electronic,Casual Tee,Generic Shoes,Generic Sweater,Casual Jeans,Generic Accessory
Indie,Soul/R&B,Jazz,Formal Shirt,Formal Shoes,Generic Sweater,Formal Trousers,Formal Tie
Hip Hop/Rap,Jazz,Other,Generic Shirt,Generic Shoes,Generic Sweater,Casual Jeans,Formal Tie
Reggae,Hip Hop/Rap,Metal,Formal Shirt,Casual Sneakers,Generic Sweater,Casual Jeans,Casual Hat
Instrumental,Latin,Easy Listening,Formal Shirt,Formal Shoes,Formal Jacket,Casual Jeans,Formal Tie
Folk,Instrumental,Blues,Generic Shirt,Casual Sneakers,Generic Sweater,Generic Pants,Formal Tie
Folk,Pop,Ambient,Casual Tee,Formal Shoes,Generic Sweater,Casual Jeans,Casual Hat
Punk,Folk,Acoustic,Formal Shirt,Casual Sneakers,Formal Jacket,Formal Trousers,Formal Tie
Electronic,Country,Metal,LED Jacket,Glowing Sneakers,Electronic Band Hoodie,LED Pants,LED Necklace
Rock,Soul/R&B,Indie,Leather Jacket,Leather Boots,Denim Jacket,Leather Pants,Choker
Reggae,Soul/R&B,Easy Listening,Formal Shirt,Casual Sneakers,Casual Hoodie,Formal Trousers,Generic Accessory
Soul/R&B,Acoustic,Electronic,Formal Shirt,Generic Shoes,Casual Hoodie,Casual Jeans,Generic Accessory
Folk,World Music,Electronic,Formal Shirt,Casual Sneakers,Generic Sweater,Formal Trousers,Casual Hat
Easy Listening,Indie,Hip Hop/Rap,Generic Shirt,Formal Shoes,Casual Hoodie,Formal Trousers,Generic Accessory
Experimental,Latin,Reggae,Generic Shirt,Generic Shoes,Generic Sweater,Generic Pants,Generic Accessory
Pop,Folk,Punk,Casual Tee,Casual Sneakers,Casual Hoodie,Casual Jeans,Generic Accessory
Electronic,Rock,Other,Neon Tee,Glowing Sneakers,Electronic Band Hoodie,Futuristic Trousers,LED Necklace
Classical,Reggae,Jazz,Formal Shirt,Classic Shoes,Formal Jacket,Tailored Pants,Cufflinks
Jazz,Reggae,World Music,Silk Shirt,Classic Loafers,Casual Blazer,Chinos,Pocket Square
Acoustic,Rock,Vocal,Casual Tee,Generic Shoes,Formal Jacket,Casual Jeans,Generic Accessory
Acoustic,World Music,Easy Listening,Casual Tee,Casual Sneakers,Generic Sweater,Formal Trousers,Generic Accessory
Blues,Experimental,Soul/R&B,Formal Shirt,Casual Sneakers,Formal Jacket,Formal Trousers,Casual Hat
Soul/R&B,Metal,Pop,Casual Tee,Casual Sneakers,Casual Hoodie,Casual Jeans,Formal Tie
Pop,Acoustic,Punk,Generic Shirt,Casual Sneakers,Generic Sweater,Formal Trousers,Casual Hat
Folk,Jazz,Other,Generic Shirt,Formal Shoes,Generic Sweater,Generic Pants,Formal Tie
Experimental,Pop,Other,Casual Tee,Generic Shoes,Casual Hoodie,Formal Trousers,Formal Tie
Dance,Rock,Ambient,Casual Tee,Formal Shoes,Formal Jacket,Formal Trousers,Casual Hat
Country,Indie,Reggae,Plaid Shirt,Rustic Loafers,Knit Sweater,Denim Overalls,Bolo Tie
Easy Listening,Hip Hop/Rap,World Music,Casual Tee,Formal Shoes,Formal Jacket,Casual Jeans,Generic Accessory
Other,Metal,Acoustic,Casual Tee,Generic Shoes,Generic Sweater,Formal Trousers,Generic Accessory
Ambient,Pop,Instrumental,Casual Tee,Casual Sneakers,Formal Jacket,Generic Pants,Formal Tie
World Music,Country,Instrumental,Generic Shirt,Casual Sneakers,Generic Sweater,Formal Trousers,Formal Tie
Easy Listening,Country,Punk,Formal Shirt,Formal Shoes,Generic Sweater,Formal Trousers,Formal Tie
Folk,Other,Dance,Casual Tee,Formal Shoes,Generic Sweater,Formal Trousers,Generic Accessory
Experimental,World Music,Reggae,Formal Shirt,Generic Shoes,Generic Sweater,Casual Jeans,Casual Hat
Acoustic,Blues,Reggae,Generic Shirt,Generic Shoes,Formal Jacket,Generic Pants,Generic Accessory
Punk,World Music,Rock,Formal Shirt,Formal Shoes,Generic Sweater,Casual Jeans,Generic Accessory
Jazz,Reggae,Vocal,Vintage Shirt,Classic Loafers,Casual Blazer,Slacks,Fedora Hat
Electronic,Vocal,Country,Neon Tee,Light-up Shoes,Futuristic Sweater,LED Pants,LED Necklace
Jazz,Electronic,Vocal,Silk Shirt,Suede Shoes,Casual Blazer,Slacks,Fedora Hat
Experimental,Jazz,Latin,Formal Shirt,Casual Sneakers,Formal Jacket,Casual Jeans,Formal Tie
Soul/R&B,Rock,Blues,Generic Shirt,Generic Shoes,Casual Hoodie,Casual Jeans,Formal Tie
Acoustic,Soul/R&B,Metal,Generic Shirt,Formal Shoes,Casual Hoodie,Generic Pants,Casual Hat
Classical,World Music,Experimental,Blazer,Elegant Loafers,Formal Jacket,Tailored Pants,Silk Scarf
Instrumental,Dance,Ambient,Casual Tee,Generic Shoes,Formal Jacket,Formal Trousers,Casual Hat
Ambient,Country,Soul/R&B,Generic Shirt,Formal Shoes,Generic Sweater,Casual Jeans,Generic Accessory
Acoustic,Metal,Dance,Casual Tee,Generic Shoes,Generic Sweater,Casual Jeans,Casual Hat
Easy Listening,Folk,Soul/R&B,Formal Shirt,Formal Shoes,Casual Hoodie,Generic Pants,Generic Accessory
Experimental,Country,Jazz,Casual Tee,Formal Shoes,Generic Sweater,Generic Pants,Generic Accessory
Blues,Metal,Acoustic,Formal Shirt,Casual Sneakers,Casual Hoodie,Casual Jeans,Casual Hat
Experimental,Folk,Punk,Formal Shirt,Generic Shoes,Casual Hoodie,Generic Pants,Casual Hat
World Music,Folk,Pop,Generic Shirt,Generic Shoes,Generic Sweater,Formal Trousers,Generic Accessory
Jazz,Pop,Folk,Silk Shirt,Classic Loafers,Jazz Club Hoodie,Chinos,Pocket Square
Punk,Dance,Indie,Casual Tee,Generic Shoes,Casual Hoodie,Formal Trousers,Casual Hat
Classical,Dance,Blues,Blazer,Classic Shoes,Formal Jacket,Tailored Pants,Silk Scarf
Punk,Blues,Acoustic,Formal Shirt,Generic Shoes,Casual Hoodie,Casual Jeans,Formal Tie
Rock,Folk,Electronic,Band Tee,Studded Sneakers,Rock Band Hoodie,Leather Pants,Choker
Country,Folk,Reggae,Denim Vest,Rustic Loafers,Country Cardigan,Bootcut Jeans,Bolo Tie
Other,Classical,Dance,Generic Shirt,Generic Shoes,Casual Hoodie,Formal Trousers,Generic Accessory
Soul/R&B,Acoustic,Latin,Casual Tee,Generic Shoes,Generic Sweater,Casual Jeans,Formal Tie
Ambient,Indie,Rock,Casual Tee,Casual Sneakers,Casual Hoodie,Generic Pants,Formal Tie
Ambient,World Music,Acoustic,Formal Shirt,Generic Shoes,Casual Hoodie,Formal Trousers,Casual Hat
Indie,Ambient,Classical,Casual Tee,Casual Sneakers,Formal Jacket,Casual Jeans,Casual Hat
Country,Hip Hop/Rap,Acoustic,Denim Vest,Cowboy Boots,Country Cardigan,Denim Overalls,Cowboy Hat
Pop,Metal,Dance,Casual Tee,Generic Shoes,Formal Jacket,Casual Jeans,Formal Tie
Country,Jazz,Indie,Denim Vest,Rustic Loafers,Country Cardigan,Bootcut Jeans,Cowboy Hat
Experimental,Acoustic,Jazz,Formal Shirt,Generic Shoes,Formal Jacket,Generic Pants,Casual Hat
Instrumental,Country,Reggae,Casual Tee,Formal Shoes,Generic Sweater,Casual Jeans,Generic Accessory
Reggae,Hip Hop/Rap,Blues,Casual Tee,Generic Shoes,Formal Jacket,Casual Jeans,Generic Accessory
Dance,Pop,Blues,Formal Shirt,Generic Shoes,Generic Sweater,Formal Trousers,Casual Hat
Blues,Hip Hop/Rap,Soul/R&B,Formal Shirt,Casual Sneakers,Generic Sweater,Casual Jeans,Formal Tie
Instrumental,Soul/R&B,Country,Casual Tee,Formal Shoes,Casual Hoodie,Generic Pants,Formal Tie
Country,Indie,Instrumental,Plaid Shirt,Cowboy Boots,Knit Sweater,Bootcut Jeans,Cowboy Hat
Electronic,Folk,Easy Listening,LED Jacket,Light-up Shoes,Futuristic Sweater,Futuristic Trousers,Glowing Bracelet
World Music,Other,Folk,Generic Shirt,Casual Sneakers,Generic Sweater,Formal Trousers,Generic Accessory
Jazz,Metal,Latin,Vintage Shirt,Suede Shoes,Jazz Club Hoodie,Slacks,Fedora Hat
World Music,Punk,Reggae,Formal Shirt,Generic Shoes,Casual Hoodie,Generic Pants,Formal Tie
Dance,Experimental,Easy Listening,Formal Shirt,Formal Shoes,Formal Jacket,Formal Trousers,Generic Accessory
Electronic,Hip Hop/Rap,Reggae,LED Jacket,Glowing Sneakers,Futuristic Sweater,Futuristic Trousers,Glowing Bracelet
Pop,Soul/R&B,Classical,Formal Shirt,Formal Shoes,Generic Sweater,Generic Pants,Formal Tie
Experimental,Classical,Indie,Generic Shirt,Formal Shoes,Formal Jacket,Generic Pants,Casual Hat
Classical,Vocal,Dance,Formal Shirt,Elegant Loafers,Vest,Tailored Pants,Silk Scarf
Punk,Metal,Blues,Generic Shirt,Generic Shoes,Casual Hoodie,Casual Jeans,Formal Tie
Dance,Indie,Vocal,Generic Shirt,Formal Shoes,Casual Hoodie,Casual Jeans,Formal Tie
Indie,Pop,Country,Formal Shirt,Formal Shoes,Formal Jacket,Casual Jeans,Generic Accessory
Jazz,Pop,Reggae,Silk Shirt,Suede Shoes,Casual Blazer,Slacks,Fedora Hat
Vocal,Latin,Easy Listening,Casual Tee,Formal Shoes,Casual Hoodie,Generic Pants,Formal Tie
Experimental,Latin,Acoustic,Formal Shirt,Formal Shoes,Casual Hoodie,Formal Trousers,Generic Accessory
Acoustic,Ambient,Easy Listening,Formal Shirt,Formal Shoes,Formal Jacket,Formal Trousers,Generic Accessory
Latin,Soul/R&B,Punk,Generic Shirt,Formal Shoes,Generic Sweater,Generic Pants,Casual Hat
Easy Listening,Metal,Ambient,Casual Tee,Generic Shoes,Generic Sweater,Generic Pants,Casual Hat
Punk,Rock,Easy Listening,Casual Tee,Formal Shoes,Generic Sweater,Formal Trousers,Generic Accessory
Vocal,Soul/R&B,Easy Listening,Casual Tee,Formal Shoes,Generic Sweater,Casual Jeans,Generic Accessory
Metal,Indie,Instrumental,Casual Tee,Casual Sneakers,Formal Jacket,Casual Jeans,Casual Hat
Country,Indie,Other,Denim Vest,Rustic Loafers,Country Cardigan,Bootcut Jeans,Bolo Tie
Metal,Other,Acoustic,Generic Shirt,Generic Shoes,Casual Hoodie,Formal Trousers,Generic Accessory
Hip Hop/Rap,Vocal,Metal,Casual Tee,Generic Shoes,Formal Jacket,Generic Pants,Casual Hat
Folk,Indie,Hip Hop/Rap,Formal Shirt,Casual Sneakers,Generic Sweater,Formal Trousers,Generic Accessory
Metal,Latin,Easy Listening,Formal Shirt,Generic Shoes,Generic Sweater,Casual Jeans,Generic Accessory
Easy Listening,Jazz,Vocal,Formal Shirt,Casual Sneakers,Formal Jacket,Generic Pants,Generic Accessory
Rock,Folk,Hip Hop/Rap,Leather Jacket,Studded Sneakers,Denim Jacket,Leather Pants,Leather Bracelet
Dance,Rock,Instrumental,Generic Shirt,Generic Shoes,Formal Jacket,Formal Trousers,Casual Hat
Instrumental,Hip Hop/Rap,Acoustic,Casual Tee,Formal Shoes,Generic Sweater,Formal Trousers,Generic Accessory
Vocal,Punk,Hip Hop/Rap,Formal Shirt,Formal Shoes,Formal Jacket,Generic Pants,Generic Accessory
Latin,Experimental,World Music,Formal Shirt,Casual Sneakers,Generic Sweater,Formal Trousers,Formal Tie
Soul/R&B,Classical,Electronic,Generic Shirt,Casual Sneakers,Casual Hoodie,Generic Pants,Generic Accessory
Latin,Pop,Indie,Generic Shirt,Casual Sneakers,Casual Hoodie,Generic Pants,Casual Hat
Pop,Vocal,Reggae,Generic Shirt,Generic Shoes,Casual Hoodie,Casual Jeans,Generic Accessory
Jazz,Vocal,Hip Hop/Rap,Vintage Shirt,Suede Shoes,Jazz Club Hoodie,Chinos,Fedora Hat
Electronic,Blues,Ambient,Futuristic Hoodie,Light-up Shoes,Futuristic Sweater,Futuristic Trousers,LED Necklace
Instrumental,Hip Hop/Rap,Vocal,Generic Shirt,Casual Sneakers,Formal Jacket,Generic Pants,Casual Hat
Experimental,Metal,Easy Listening,Generic Shirt,Formal Shoes,Generic Sweater,Casual Jeans,Casual Hat
Rock,Jazz,Instrumental,Band Tee,Studded Sneakers,Rock Band Hoodie,Ripped Jeans,Choker
Ambient,Classical,Rock,Casual Tee,Casual Sneakers,Casual Hoodie,Casual Jeans,Generic Accessory
Ambient,World Music,Acoustic,Generic Shirt,Casual Sneakers,Formal Jacket,Generic Pants,Casual Hat
World Music,Easy Listening,Jazz,Formal Shirt,Generic Shoes,Formal Jacket,Formal Trousers,Generic Accessory
Indie,Blues,Experimental,Casual Tee,Generic Shoes,Generic Sweater,Formal Trousers,Casual Hat
Indie,Other,Vocal,Formal Shirt,Generic Shoes,Formal Jacket,Formal Trousers,Formal Tie
Acoustic,Indie,Country,Casual Tee,Formal Shoes,Formal Jacket,Generic Pants,Casual Hat
Experimental,Vocal,Jazz,Formal Shirt,Generic Shoes,Generic Sweater,Generic Pants,Formal Tie
World Music,Instrumental,Ambient,Generic Shirt,Casual Sneakers,Generic Sweater,Generic Pants,Casual Hat
Easy Listening,Other,Metal,Generic Shirt,Casual Sneakers,Casual Hoodie,Casual Jeans,Generic Accessory
World Music,Vocal,Pop,Casual Tee,Generic Shoes,Casual Hoodie,Generic Pants,Casual Hat
Acoustic,Metal,Punk,Generic Shirt,Generic Shoes,Generic Sweater,Casual Jeans,Generic Accessory
Metal,Indie,Instrumental,Formal Shirt,Generic Shoes,Generic Sweater,Casual Jeans,Generic Accessory
Metal,Reggae,World Music,Casual Tee,Formal Shoes,Formal Jacket,Formal Trousers,Casual Hat
Instrumental,Hip Hop/Rap,Metal,Generic Shirt,Generic Shoes,Casual Hoodie,Casual Jeans,Formal Tie
Latin,Acoustic,Dance,Formal Shirt,Generic Shoes,Casual Hoodie,Formal Trousers,Generic Accessory
Reggae,Experimental,Metal,Formal Shirt,Formal Shoes,Generic Sweater,Casual Jeans,Formal Tie
Instrumental,Pop,Jazz,Generic Shirt,Casual Sneakers,Casual Hoodie,Generic Pants,Generic Accessory
Blues,Electronic,Country,Generic Shirt,Casual Sneakers,Generic Sweater,Casual Jeans,Formal Tie
Instrumental,Experimental,World Music,Casual Tee,Formal Shoes,Generic Sweater,Generic Pants,Generic Accessory
Experimental,Reggae,Soul/R&B,Casual Tee,Casual Sneakers,Formal Jacket,Formal Trousers,Casual Hat
Blues,Instrumental,Acoustic,Formal Shirt,Formal Shoes,Formal Jacket,Formal Trousers,Formal Tie
Dance,Classical,Soul/R&B,Generic Shirt,Generic Shoes,Casual Hoodie,Formal Trousers,Casual Hat
Blues,Experimental,Rock,Generic Shirt,Generic Shoes,Generic Sweater,Casual Jeans,Formal Tie
Easy Listening,Other,Vocal,Generic Shirt,Formal Shoes,Formal Jacket,Casual Jeans,Formal Tie
Metal,Blues,Hip Hop/Rap,Casual Tee,Generic Shoes,Generic Sweater,Generic Pants,Formal Tie
Vocal,Soul/R&B,Punk,Formal Shirt,Generic Shoes,Casual Hoodie,Generic Pants,Generic Accessory
Metal,Folk,Jazz,Generic Shirt,Generic Shoes,Generic Sweater,Formal Trousers,Generic Accessory
Instrumental,Reggae,Hip Hop/Rap,Formal Shirt,Casual Sneakers,Formal Jacket,Casual Jeans,Casual Hat
Experimental,World Music,Dance,Generic Shirt,Generic Shoes,Formal Jacket,Formal Trousers,Generic Accessory
Dance,Easy Listening,Latin,Casual Tee,Casual Sneakers,Casual Hoodie,Formal Trousers,Casual Hat
Experimental,Country,Reggae,Formal Shirt,Generic Shoes,Formal Jacket,Generic Pants,Generic Accessory
Pop,Dance,Classical,Casual Tee,Generic Shoes,Casual Hoodie,Generic Pants,Formal Tie
Indie,Folk,Hip Hop/Rap,Formal Shirt,Generic Shoes,Formal Jacket,Formal Trousers,Generic Accessory
Ambient,Jazz,Latin,Formal Shirt,Generic Shoes,Casual Hoodie,Formal Trousers,Generic Accessory
Pop,World Music,Punk,Generic Shirt,Formal Shoes,Casual Hoodie,Generic Pants,Casual Hat
Blues,Indie,Pop,Formal Shirt,Casual Sneakers,Casual Hoodie,Casual Jeans,Casual Hat
Metal,Ambient,Reggae,Casual Tee,Generic Shoes,Casual Hoodie,Casual Jeans,Formal Tie
Hip Hop/Rap,Latin,Rock,Casual Tee,Generic Shoes,Casual Hoodie,Casual Jeans,Casual Hat
Classical,Vocal,Experimental,Formal Shirt,Elegant Loafers,Vest,Tailored Pants,Cufflinks
Easy Listening,Dance,Instrumental,Casual Tee,Formal Shoes,Casual Hoodie,Casual Jeans,Generic Accessory
Easy Listening,Folk,Hip Hop/Rap,Generic Shirt,Formal Shoes,Casual Hoodie,Generic Pants,Casual Hat
Hip Hop/Rap,Metal,Jazz,Casual Tee,Casual Sneakers,Formal Jacket,Generic Pants,Generic Accessory
Rock,Electronic,Experimental,Band Tee,Studded Sneakers,Rock Band Hoodie,Ripped Jeans,Choker
Classical,Pop,Acoustic,Blazer,Classic Shoes,Formal Jacket,Formal Trousers,Cufflinks
Ambient,Pop,Electronic,Generic Shirt,Generic Shoes,Generic Sweater,Generic Pants,Formal Tie
